feature,mean_abs_shap,mean_signed_shap,rank
slopeUV0-500_sma3nz_amean,6.266947494105557,0.25517436285326084,1
slopeV0-500_sma3nz_amean,2.4602365561870942,-0.3895139043807773,2
slopeUV500-1500_sma3nz_amean,2.349245477841911,-0.0945429329077277,3
hammarbergIndexUV_sma3nz_amean,0.9599954515423922,0.13207770808677707,4
loudness_sma3_stddevNorm,0.9268176022407028,0.03432179014741617,5
loudness_sma3_percentile20.0,0.39401348606133246,0.03493068768184945,6
alphaRatioUV_sma3nz_amean,0.38149927357474306,0.09272606449718114,7
shimmerLocaldB_sma3nz_amean,0.25644643036563175,-0.013783412484468136,8
spectralFluxUV_sma3nz_amean,0.2456687751547783,-0.03408288768573702,9
equivalentSoundLevel_dBp,0.14961362082660132,0.012668790772344783,10
loudness_sma3_stddevRisingSlope,0.09375037885200273,-0.003269174168837569,11
hammarbergIndexV_sma3nz_stddevNorm,0.09173036683736517,-0.028496057443156083,12
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.07949366076482327,0.04174797429973285,13
loudnessPeaksPerSec,0.07932383474719723,0.011266189720039019,14
mfcc1V_sma3nz_amean,0.07417302593625194,0.0010684141827545111,15
logRelF0-H1-H2_sma3nz_amean,0.06614718521251144,-0.02372560335380843,16
spectralFlux_sma3_amean,0.06194296520680998,-0.019738278361105595,17
mfcc1_sma3_stddevNorm,0.06102352601768562,-0.013667840814181365,18
F0semitoneFrom27.5Hz_sma3nz_amean,0.059816450885385807,0.001111781138124038,19
loudness_sma3_percentile80.0,0.04903140450820425,-0.024995276051526686,20
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.04648251740563683,0.009263009238425978,21
F3amplitudeLogRelF0_sma3nz_amean,0.041211766178866606,-0.01638913125586807,22
MeanUnvoicedSegmentLength,0.03984741722285782,-0.02353836807641412,23
HNRdBACF_sma3nz_amean,0.03467229837387699,0.002534515487063017,24
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.029153192078229525,-0.010548888258944872,25
loudness_sma3_pctlrange0-2,0.015952375715289603,0.0009976077155654888,26
loudness_sma3_amean,0.015740055169150755,-0.006828967160433495,27
F1amplitudeLogRelF0_sma3nz_amean,0.014793445446064838,-0.0009337478910474206,28
logRelF0-H1-A3_sma3nz_stddevNorm,0.01321940270460995,-0.004659620981581497,29
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.01250679756617115,-0.0038088368040248956,30
mfcc2_sma3_amean,0.012426739316136332,0.0004878359104749866,31
spectralFlux_sma3_stddevNorm,0.011240884319495202,0.002500189514498095,32
spectralFluxV_sma3nz_stddevNorm,0.01078467863236694,-6.731401676833688e-05,33
mfcc1V_sma3nz_stddevNorm,0.010581517962327171,0.004002700767703709,34
alphaRatioV_sma3nz_stddevNorm,0.0073355924676669,0.0010921360125045923,35
spectralFluxV_sma3nz_amean,0.007224011756352189,-0.004066195958365318,36
HNRdBACF_sma3nz_stddevNorm,0.006903703632364908,0.002098634489523444,37
mfcc4V_sma3nz_stddevNorm,0.005599399991840314,-0.0018710386878414884,38
F1bandwidth_sma3nz_stddevNorm,0.0049214872715480145,-0.001168533801730678,39
jitterLocal_sma3nz_amean,0.004767315311645122,0.004251708072737953,40
logRelF0-H1-H2_sma3nz_stddevNorm,0.004760614091678625,-0.0010491378458033981,41
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.004554662062097324,-0.001400592637410556,42
F3bandwidth_sma3nz_stddevNorm,0.0044101689999661116,0.0005201620107773731,43
mfcc2V_sma3nz_amean,0.004200019928448369,-0.0005039211716936794,44
loudness_sma3_percentile50.0,0.003890197524919158,-0.0010427443344673312,45
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.0036722551762388097,0.002336186266314533,46
shimmerLocaldB_sma3nz_stddevNorm,0.0033462349648701096,0.000754887328966496,47
task_VI2,0.0032960113344911533,0.0007364551156024246,48
slopeV0-500_sma3nz_stddevNorm,0.0032013071462514576,-9.690281128024538e-05,49
mfcc4_sma3_amean,0.0030754125538407996,0.0013385842092556765,50
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.0027367908044009176,0.0010729283547466432,51
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.0026820032577775273,-0.0006122515769133038,52
StddevUnvoicedSegmentLength,0.00267974565503855,0.0009910812196825944,53
F2frequency_sma3nz_stddevNorm,0.00264267290925095,0.0012300273144209785,54
F2amplitudeLogRelF0_sma3nz_amean,0.0026002439085692883,-0.001985158709917349,55
MeanVoicedSegmentLengthSec,0.002291164207426751,-0.0002564573892987342,56
alphaRatioV_sma3nz_amean,0.0020581147613912107,-0.0007375770917892411,57
F2bandwidth_sma3nz_stddevNorm,0.002046212183148174,-0.0010975708797740567,58
mfcc3_sma3_amean,0.0020443398342448603,0.00012674774911145708,59
F3frequency_sma3nz_amean,0.0020338604821010927,9.394055616439733e-05,60
mfcc2V_sma3nz_stddevNorm,0.0020308804066284415,0.0007035784141109922,61
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.0019827263798186533,-0.001012662131514239,62
VoicedSegmentsPerSec,0.0018913211191439489,-0.0006899364871231471,63
F1frequency_sma3nz_amean,0.0015469956936312438,0.0005805763605809306,64
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.0014392838621797596,0.0002594868284244542,65
F3bandwidth_sma3nz_amean,0.0014250954685656185,-0.00036708828903826295,66
slopeV500-1500_sma3nz_amean,0.001422320560766514,-6.153463830449839e-05,67
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.0014078291448397862,-0.0012623102264069381,68
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.0012441459683818967,-0.0011169044568094685,69
mfcc3V_sma3nz_stddevNorm,0.0011296957185914739,-0.0002404843941976722,70
mfcc4V_sma3nz_amean,0.0011262173797946312,0.0007996655072126929,71
StddevVoicedSegmentLengthSec,0.0010777992225064908,-1.933272521608909e-05,72
loudness_sma3_stddevFallingSlope,0.0009213086094734965,3.146757161006478e-05,73
mfcc4_sma3_stddevNorm,0.0009004225264276458,-2.5769815318292426e-05,74
F1bandwidth_sma3nz_amean,0.0007877904897654581,-0.0002915741835621847,75
mfcc3_sma3_stddevNorm,0.0007700703874551439,1.5080604525139353e-05,76
logRelF0-H1-A3_sma3nz_amean,0.0007532799005516259,-0.000598888010107803,77
F1frequency_sma3nz_stddevNorm,0.0005732698715913642,0.00011689386758801051,78
F2frequency_sma3nz_amean,0.0005537891394561679,-0.00021526654851632558,79
hammarbergIndexV_sma3nz_amean,0.00044303751337790244,0.0002381700833917566,80
F3frequency_sma3nz_stddevNorm,0.0004090421434622397,-0.000332708647844321,81
jitterLocal_sma3nz_stddevNorm,0.0003281146933418449,-7.962474742732177e-05,82
mfcc2_sma3_stddevNorm,0.00021086709978346656,9.454195841959925e-05,83
loudness_sma3_meanFallingSlope,0.00020917229505167822,-0.00012650611994857201,84
loudness_sma3_meanRisingSlope,0.00019292580296094097,-0.00011767757306116213,85
F2bandwidth_sma3nz_amean,0.0001760659550550069,-7.090191005429525e-05,86
mfcc1_sma3_amean,6.351964749577884e-05,-2.4365130068965196e-05,87
mfcc3V_sma3nz_amean,6.063977704689207e-05,-3.329512360946934e-05,88
task_VU1,9.201640874456118e-06,-3.2309171594295003e-06,89
task_VO2,3.907177020078269e-06,-3.0436108279500757e-06,90
slopeV500-1500_sma3nz_stddevNorm,2.7708927953883437e-06,1.0376987584829655e-06,91
task_VE2,8.280373386959844e-07,4.4638364367889975e-07,92
task_VA1,1.771263658727195e-07,-3.8228712058674585e-09,93
task_VA2,1.3405331737165857e-08,9.889900657841406e-09,94
task_D2,1.2494290483960401e-08,9.207672714770323e-09,95
task_VI1,5.162313792497037e-09,4.424840393569044e-09,96
task_VE1,4.324467776943817e-09,3.2496870573486077e-09,97
task_VO1,0.0,0.0,98
task_FB1,0.0,0.0,99
task_PR1,0.0,0.0,100
task_D1,0.0,0.0,101
task_B2,0.0,0.0,102
task_B1,0.0,0.0,103
task_VU2,0.0,0.0,104
