task,marker,feature,n,n_pd,n_elderly,beta_pd,se,t,p,q
B1,jitter,jitterLocal_sma3nz_amean,41,24,17,-0.00014270139890792868,0.0015639887687828318,-0.09124195886584627,0.9277925323337597,0.9475327989791589
B1,shimmer,shimmerLocaldB_sma3nz_amean,41,24,17,-0.23421634915433936,0.05097830920483483,-4.594431490719705,4.900847939181486e-05,0.0006721162888020324
B1,hnr,HNRdBACF_sma3nz_amean,41,24,17,2.222604439499468,0.4033752669119384,5.510016656486498,2.8941716748624275e-06,9.261349359559768e-05
B1,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,41,24,17,-0.7216154499169289,0.7623382759507106,-0.9465816851672622,0.3499933214981613,0.4540453900516687
B1,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,41,24,17,-0.05224921779213781,0.008688196993734014,-6.013815965478257,6.013970909804681e-07,2.8867060367062467e-05
B1,loudness,loudness_sma3_amean,41,24,17,-0.07720571069089374,0.03808181242287923,-2.027364397302404,0.04987434625668701,0.11350073295878102
B2,jitter,jitterLocal_sma3nz_amean,38,20,18,-0.0010875090715809692,0.001579586256761847,-0.6884771673123844,0.49582350780036366,0.6102443172927553
B2,shimmer,shimmerLocaldB_sma3nz_amean,38,20,18,-0.2005860727346462,0.05051629156615596,-3.970720464940689,0.0003521440927111038,0.0028171527416888304
B2,hnr,HNRdBACF_sma3nz_amean,38,20,18,2.047031146231579,0.40453673035043397,5.060186115753488,1.4352942613792133e-05,0.0002755764981848089
B2,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,38,20,18,-0.8904346374825935,0.7396977476403634,-1.203781734259812,0.23698827835646236,0.32972282206116504
B2,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,38,20,18,-0.052014921210266504,0.011166655602916072,-4.658057260822415,4.7466253254373076e-05,0.0006721162888020324
B2,loudness,loudness_sma3_amean,38,20,18,-0.08258372523128384,0.040492549823298966,-2.039479499109391,0.049234467878796984,0.11350073295878102
D1,jitter,jitterLocal_sma3nz_amean,43,24,19,0.007876141938043492,0.0038560838947009307,2.0425234909611185,0.0479012635833262,0.11350073295878102
D1,shimmer,shimmerLocaldB_sma3nz_amean,43,24,19,-0.08020709189089656,0.10865733010212969,-0.7381654952823519,0.4648328076646681,0.5871572307343177
D1,hnr,HNRdBACF_sma3nz_amean,43,24,19,2.164757594795305,0.7187640863935902,3.0117776274229406,0.004541924601715883,0.02294867167182762
D1,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,43,24,19,-0.18415605031779814,0.784169175075761,-0.23484224599877476,0.8155598486390971,0.8757083289497452
D1,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,43,24,19,0.022404745298467022,0.012964077613162062,1.7282174611265917,0.09186058458993016,0.1763723224126659
D1,loudness,loudness_sma3_amean,43,24,19,-0.05998276204412692,0.04184612864244697,-1.433412456302658,0.15970880534558543,0.25986517479959664
D2,jitter,jitterLocal_sma3nz_amean,43,24,19,0.003833322507850033,0.004568517839599183,0.8390735556778187,0.40654194007798533,0.5203736832998213
D2,shimmer,shimmerLocaldB_sma3nz_amean,43,24,19,-0.15747963207017726,0.10600273564906255,-1.4856185654635976,0.14541944192927583,0.24069424871052553
D2,hnr,HNRdBACF_sma3nz_amean,43,24,19,2.4201345842509157,0.7211897280996044,3.3557529869819054,0.0017740458119230146,0.010644274871538089
D2,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,43,24,19,-0.14393376130134783,0.7813001326017568,-0.18422339290029732,0.8547927916136124,0.9017594285154593
D2,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,43,24,19,0.002318142540074602,0.016270513679053304,0.1424750678313853,0.887438298636431,0.9260225724901888
D2,loudness,loudness_sma3_amean,43,24,19,-0.05441178287903666,0.03917273766319737,-1.3890217055254812,0.17270732554304688,0.2735896923864044
FB1,jitter,jitterLocal_sma3nz_amean,40,22,18,0.0005776484997832437,0.0016736219637588506,0.345148732683862,0.7319911305585292,0.817106378297893
FB1,shimmer,shimmerLocaldB_sma3nz_amean,40,22,18,-0.2205902768214535,0.048825535769656585,-4.517928443471231,6.486464513644571e-05,0.0007783757416373485
FB1,hnr,HNRdBACF_sma3nz_amean,40,22,18,2.153509760153611,0.3341773640185097,6.444211942596837,1.7787414968172127e-07,1.7075918369445244e-05
FB1,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,40,22,18,-0.8503477387518212,0.7043702930371868,-1.2072453184889325,0.2352101319304909,0.32972282206116504
FB1,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,40,22,18,-0.018531826328802056,0.009494035260695867,-1.9519441228032433,0.05875712416438505,0.12262356347349923
FB1,loudness,loudness_sma3_amean,40,22,18,-0.09000313692586123,0.03343185245336712,-2.692137297848013,0.010705508140868056,0.03425762605077778
PR1,jitter,jitterLocal_sma3nz_amean,41,23,18,0.00283941382679921,0.001840343837535031,1.542871374841747,0.13137253875817836,0.2293047949233659
PR1,shimmer,shimmerLocaldB_sma3nz_amean,41,23,18,-0.20215875178482695,0.04546606394683971,-4.446365799801739,7.684063729768797e-05,0.0008196334645086717
PR1,hnr,HNRdBACF_sma3nz_amean,41,23,18,2.0507391102156354,0.4032314933862205,5.08576126580324,1.0818980574485815e-05,0.0002596555337876596
PR1,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,41,23,18,-0.5853270478158561,0.8074956995450612,-0.7248670774910954,0.47309304363858345,0.5898302881727794
PR1,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,41,23,18,-0.038915274916127396,0.011994867118371246,-3.244327305345889,0.002499023874074932,0.014088896407417043
PR1,loudness,loudness_sma3_amean,41,23,18,-0.0916004424297087,0.03382095695855979,-2.7083929807765363,0.01017746714421472,0.03425762605077778
VA1,jitter,jitterLocal_sma3nz_amean,44,24,20,0.004299525902672562,0.0033653021229986253,1.277604727756658,0.20875434483076263,0.30194455571665474
VA1,shimmer,shimmerLocaldB_sma3nz_amean,44,24,20,-0.21065917994645433,0.08932259332507247,-2.3584086859166815,0.023328413124917954,0.06586846058800364
VA1,hnr,HNRdBACF_sma3nz_amean,44,24,20,0.8925994271321415,0.6843807850305821,1.3042438459055437,0.1996057598344541,0.2994086397516812
VA1,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,44,24,20,0.029994049522169997,0.874207319541173,0.034309995869071824,0.9728005989874455,0.9728005989874455
VA1,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,44,24,20,0.00873393720445887,0.017284130637881822,0.5053153894426488,0.6161104835149953,0.7213000782614579
VA1,loudness,loudness_sma3_amean,44,24,20,0.20896320748113636,0.07117437537101752,2.9359331415534555,0.005489736159696556,0.025095936730041398
VA2,jitter,jitterLocal_sma3nz_amean,44,23,21,-0.00033801428114612616,0.003116887822752545,-0.10844608480250773,0.9141840291730409,0.9436738365657196
VA2,shimmer,shimmerLocaldB_sma3nz_amean,44,23,21,-0.3250884278260501,0.11477196074241494,-2.832472545761004,0.007199489521177333,0.028797958084709332
VA2,hnr,HNRdBACF_sma3nz_amean,44,23,21,1.2005961588789624,0.683327008972464,1.7569862497961686,0.08657299257116668,0.1696123936088164
VA2,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,44,23,21,0.3205691098536607,0.9853371722326234,0.32533950701088454,0.746619843753053,0.8238563793137137
VA2,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,44,23,21,0.0069122144645583075,0.01791144911271658,0.38591039848645453,0.7016080045458952,0.7924043345459523
VA2,loudness,loudness_sma3_amean,44,23,21,0.19525723529772387,0.0976744658559462,1.9990612038329059,0.05242793428427317,0.11438822025659601
VE1,jitter,jitterLocal_sma3nz_amean,44,24,20,0.0010152583480228356,0.0022245836665518563,0.4563812830634075,0.6505843240211983,0.7524830735666871
VE1,shimmer,shimmerLocaldB_sma3nz_amean,44,24,20,-0.16389261561006274,0.06203060813755776,-2.6421249207587643,0.011701407806981017,0.03623661772484444
VE1,hnr,HNRdBACF_sma3nz_amean,44,24,20,0.5855052861128751,0.5735634357269008,1.0208204527034397,0.31347413001578855,0.41223995180158496
VE1,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,44,24,20,0.21681861539702463,0.9518716066622592,0.22778136660394754,0.8209765583903861,0.8757083289497452
VE1,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,44,24,20,0.0010432925197040917,0.01600897376417364,0.06516923164924338,0.9483638789580418,0.9583466566312843
VE1,loudness,loudness_sma3_amean,44,24,20,0.3146004694244532,0.07467914795136481,4.212694949724633,0.00013936476338151545,0.0013379017284625482
VE2,jitter,jitterLocal_sma3nz_amean,43,22,21,-0.0038053498261694783,0.002962314298998298,-1.28458679332448,0.2065147253316307,0.30194455571665474
VE2,shimmer,shimmerLocaldB_sma3nz_amean,43,22,21,-0.36686735956348426,0.09746540410774918,-3.764077755814853,0.0005505469339293922,0.004065577358247819
VE2,hnr,HNRdBACF_sma3nz_amean,43,22,21,1.1842641912060967,0.554440318818083,2.135963332772458,0.039015881275047154,0.1012303946595818
VE2,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,43,22,21,-0.44252033978691707,1.1270875671499545,-0.39262285618668485,0.6967358211642029,0.7924043345459523
VE2,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,43,22,21,-0.0060731919629182785,0.02090106569966019,-0.2905685312982398,0.7729209130486814,0.8431864505985616
VE2,loudness,loudness_sma3_amean,43,22,21,0.22121944658574152,0.07422235883619539,2.980496039932664,0.0049356618857084615,0.023691177051400614
VI1,jitter,jitterLocal_sma3nz_amean,45,24,21,-0.006378762332231582,0.0029689529486876484,-2.1484888586904534,0.0376313256033819,0.1003502016090184
VI1,shimmer,shimmerLocaldB_sma3nz_amean,45,24,21,-0.3140919849458246,0.08646249602405402,-3.6326962485381364,0.0007728281532846451,0.005299393051094709
VI1,hnr,HNRdBACF_sma3nz_amean,45,24,21,1.5666542841302977,0.5428505975772198,2.8859768988417542,0.006197524124795684,0.027043741635472074
VI1,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,45,24,21,1.579229093202188,0.9854854184988188,1.6024885437755272,0.11672504077985804,0.20988230786441517
VI1,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,45,24,21,-0.01688036862264762,0.016446385240360697,-1.0263877670347825,0.31072649421888293,0.41223995180158496
VI1,loudness,loudness_sma3_amean,45,24,21,0.18690521917305028,0.05393934078113255,3.4651001748695434,0.001256079635397305,0.008038909666542752
VI2,jitter,jitterLocal_sma3nz_amean,42,22,20,-0.005189668557933913,0.002531977500636593,-2.0496503450876324,0.04734649927736764,0.11350073295878102
VI2,shimmer,shimmerLocaldB_sma3nz_amean,42,22,20,-0.2464755781159298,0.08868397412807302,-2.7792572506953954,0.008423457165880499,0.03234607551698111
VI2,hnr,HNRdBACF_sma3nz_amean,42,22,20,1.1499461323296407,0.5702251123594525,2.0166529102365276,0.050838869971120665,0.11350073295878102
VI2,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,42,22,20,1.21094951107397,0.9025073606470881,1.341761368246052,0.18763672045715035,0.285922621648991
VI2,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,42,22,20,-0.01729143101962864,0.011314546462298765,-1.5282478248019458,0.13473315891452234,0.23097112956775256
VI2,loudness,loudness_sma3_amean,42,22,20,0.1351297778425444,0.04755957886703055,2.8412736416431903,0.0071851604358321814,0.028797958084709332
VO1,jitter,jitterLocal_sma3nz_amean,44,23,21,-0.002186369167369868,0.0036677402400725058,-0.5961079641034357,0.5544616664068458,0.6737762022159139
VO1,shimmer,shimmerLocaldB_sma3nz_amean,44,23,21,-0.3561044555545166,0.11105129269886597,-3.206666459256381,0.0026416680763906956,0.014088896407417043
VO1,hnr,HNRdBACF_sma3nz_amean,44,23,21,1.496978217513064,0.7246363238118094,2.0658338097633573,0.04536369722227664,0.11350073295878102
VO1,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,44,23,21,0.5756630985159743,1.1038898162683368,0.5214860124917036,0.6049038513253389,0.7169230830522535
VO1,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,44,23,21,-0.029119455165032875,0.01957541288271126,-1.4875525405009866,0.14471031895334238,0.24069424871052553
VO1,loudness,loudness_sma3_amean,44,23,21,0.286037682255456,0.06938301574541711,4.122589356810271,0.0001834757687641946,0.001601243072851153
VO2,jitter,jitterLocal_sma3nz_amean,43,23,20,-0.0027737657833150978,0.002594383595561034,-1.0691425077081835,0.29157836226309536,0.39424679967967824
VO2,shimmer,shimmerLocaldB_sma3nz_amean,43,23,20,-0.24200198165914644,0.09019871324390702,-2.6829870732717334,0.01064866638560255,0.03425762605077778
VO2,hnr,HNRdBACF_sma3nz_amean,43,23,20,1.1578966513622324,0.6300091940204374,1.8379043708442617,0.0737028574347594,0.1474057148695188
VO2,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,43,23,20,0.5611881545172792,1.062086925364596,0.5283825091101965,0.6002279730004711,0.7169230830522535
VO2,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,43,23,20,-0.03535835647245873,0.02058187007488166,-1.7179370165984316,0.09373943683120614,0.17645070462344686
VO2,loudness,loudness_sma3_amean,43,23,20,0.23828905450569235,0.09271022666438639,2.570256411607162,0.014095839178474939,0.04228751753542482
VU1,jitter,jitterLocal_sma3nz_amean,43,24,19,-0.005133920788908725,0.003706087528216466,-1.3852670099724804,0.17384345037052779,0.2735896923864044
VU1,shimmer,shimmerLocaldB_sma3nz_amean,43,24,19,-0.24458849581271241,0.09007152769618412,-2.7154918104389427,0.009810143569292449,0.03425762605077778
VU1,hnr,HNRdBACF_sma3nz_amean,43,24,19,1.3254394701055112,0.6794149867240031,1.9508540376721788,0.0582858010080197,0.12262356347349923
VU1,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,43,24,19,1.3749353981280716,1.0805044928047034,1.272493920464045,0.21073213784391526,0.30194455571665474
VU1,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,43,24,19,-0.015219271598696169,0.014201059568912693,-1.0716997224638383,0.2904422711455945,0.39424679967967824
VU1,loudness,loudness_sma3_amean,43,24,19,0.30374940751674867,0.12538560593329004,2.422522148821094,0.020158884214475183,0.058644026805745986
VU2,jitter,jitterLocal_sma3nz_amean,43,23,20,-0.002589615124260221,0.0019142730869623399,-1.352792943649198,0.18391295401043514,0.2847684449193834
VU2,shimmer,shimmerLocaldB_sma3nz_amean,43,23,20,-0.20149707616610563,0.07351506430092344,-2.740895054397369,0.009197817560464018,0.033961172530944064
VU2,hnr,HNRdBACF_sma3nz_amean,43,23,20,1.154771676448544,0.6127194911731657,1.8846661369259177,0.0669430616326746,0.13673476418588856
VU2,f0_mean,F0semitoneFrom27.5Hz_sma3nz_amean,43,23,20,1.5072278792086602,0.9430484473037056,1.5982507404768171,0.11805879817373353,0.20988230786441517
VU2,f0_var,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,43,23,20,-0.008479074306899842,0.005168505974811896,-1.6405271365113265,0.108937618122519,0.20111560268772738
VU2,loudness,loudness_sma3_amean,43,23,20,0.2791204109551736,0.12380447361753341,2.2545260506292726,0.029854366844782904,0.08188626334569025
